room,noise,Speaker,mic_id,mic_type,location,spk_angle,Gender,DataSet,Centroid,variance,skewness,kurtosis,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,roll_off_max,roll_off_min
1,musi,5126,7,stu,beh,90,M,train-clean-360,1369.398345,1414.508183,1808.999734,2195.872352,-286.7607032,157.7174456,-37.47652665,47.58018118,-19.78072163,8.274727646,-8.022123067,0.586186629,-12.07654637,-0.450235539,-3.663053662,-10.17835243,2267.065004,175.3909085
1,none,3549,3,stu,mid,90,F,train-clean-360,2009.319289,1612.224503,1974.578827,2318.955283,-262.874208,114.2452651,-46.64641809,21.5247776,-24.67004239,-2.31311393,-16.06889839,4.275575001,-0.54339718,5.348371252,-3.721554891,1.623453633,3150.364701,379.463243
2,babb,4331,7,stu,beh,90,F,train-clean-360,1164.829415,1162.326446,1581.974782,1992.371902,-286.7031912,160.5019554,-27.97322857,-0.923947746,-21.5547429,-14.0680627,-6.621131821,-14.52998211,-8.319861037,-0.395488168,-3.755953554,-9.381569801,1765.189656,251.9262937
2,tele,196,1,stu,clo,90,M,train-clean-100,1609.693173,1432.359345,1794.042862,2140.470324,-315.8496717,142.7182266,-46.67862663,27.26502559,-22.22765612,6.975140914,-13.28487129,-11.58331206,0.705183626,-6.407150674,-10.47936295,-7.361546564,2532.617001,264.8912736
2,musi,2289,3,stu,mid,90,M,train-clean-100,2058.137285,1673.071654,2036.431046,2372.0221,-309.7384866,125.2658172,-38.42568591,58.68630332,-29.80667145,26.87855444,-15.67970489,10.37379571,-1.904526448,6.741254784,-1.635498836,-3.869155018,3264.408186,295.5575048
1,tele,196,3,stu,mid,90,M,train-clean-100,1426.606939,1405.431674,1811.019521,2195.262508,-287.6364496,155.4151792,-27.57653216,19.71349912,-19.76455417,9.651799589,-9.76687804,-2.045433334,0.254965281,-7.908925402,0.124427497,-0.710856679,2265.061024,211.4767416
1,babb,6241,1,stu,clo,90,M,dev-clean,1850.991421,1568.242454,1954.880985,2313.022286,-270.8856769,127.2289108,-51.52533083,30.73413931,-27.85601897,6.947053123,-28.19333544,-5.560440744,-13.12755185,-8.064795691,-11.07954146,-9.130308441,2859.363281,370.9248047
1,none,4014,7,stu,beh,90,M,train-clean-100,1694.295475,1533.572559,1900.054875,2248.13363,-289.1124969,135.8410463,-31.96030699,32.94607546,-28.09942284,1.308268899,-8.532311892,-1.912662954,-4.449349795,2.026824037,-0.678597509,-6.224602586,2741.366276,247.5338092
1,babb,1536,7,stu,beh,90,M,train-clean-360,1252.443596,1257.618588,1637.340436,2016.867386,-331.538541,166.9806683,-27.42921835,23.48657333,-14.34499638,-1.050156621,-3.85748368,-16.16513617,-9.720713907,-5.556191345,-4.264958855,-0.527973688,2044.468548,210.0198754
2,tele,1874,1,stu,clo,90,M,train-clean-360,1380.383544,1336.143049,1744.859579,2143.144522,-316.7013167,165.4766826,-38.80676543,19.16007908,-23.30404092,9.496963154,-14.78835694,-8.904343909,-6.102070021,-0.523024019,-12.52743185,-5.778667559,2143.853656,248.2588681
1,babb,1392,5,stu,far,90,M,train-clean-360,1707.691608,1442.340877,1769.842595,2101.221005,-277.1225958,140.8955585,-65.03918283,41.90354342,-17.98502481,-1.579756474,-25.02223791,-6.382554615,-14.72535994,-11.15556727,-4.327997555,-13.2288429,2792.282227,322.2324219
2,babb,5456,7,stu,beh,90,M,train-clean-100,1210.958568,1338.227449,1783.179088,2189.770691,-259.2194503,162.1118225,-14.02941711,27.87697601,-33.89900035,11.16998831,-16.39120906,-16.32557522,-3.177545074,-11.91277117,-7.769511724,-4.787838799,1853.497297,195.9616205
1,none,296,1,stu,clo,90,M,train-clean-360,1630.336941,1623.595247,2019.612861,2385.821773,-357.9853683,127.4152411,-5.990705952,54.70848524,-14.81967142,7.281251914,-16.41928835,1.621501697,-2.95979153,-1.596862474,1.60158953,-4.892527131,2743.80063,163.7427146
1,babb,5456,1,stu,clo,90,M,train-clean-100,1467.044072,1474.448959,1875.716229,2254.151873,-312.4956321,145.9865414,-21.67444332,35.37369682,-20.72776937,5.690671471,-19.0103333,-11.54335951,-6.474022015,-8.816576607,-9.213082723,-5.40669565,2380.758994,224.3427064
1,tele,188,7,stu,beh,90,F,train-clean-360,1685.921997,1526.24532,1884.414654,2223.576157,-323.1479892,132.0115585,-38.0368771,21.35877153,-33.60853762,-2.143279387,-12.97684202,-4.607370128,-2.258407259,-6.384922013,-6.667024854,-8.940892645,2783.846098,295.2034159
2,babb,8051,3,stu,mid,90,F,train-clean-100,947.6696214,1014.154484,1451.698522,1889.537038,-327.71604,166.444372,-11.07504881,8.39325348,-5.228698264,-28.42881438,-13.8192037,-6.395154584,-8.579916712,-4.555996982,-4.861687389,-4.655569665,1326.987493,252.8842124
1,babb,5678,1,stu,clo,90,M,train-clean-100,1773.828364,1496.499337,1860.383963,2212.390798,-284.7618049,138.5065914,-45.50029562,38.17127138,-16.98240732,5.627236871,-19.18049645,-1.583643072,-15.86193822,-7.539425348,-7.221477038,-11.43901137,2807.782452,321.3416466
1,babb,1246,1,stu,clo,90,F,train-clean-100,1902.703852,1529.171115,1873.798059,2205.354635,-294.2827302,104.9368183,-36.82321064,24.25386994,-9.6295942,-9.613691692,-29.64179668,-16.6266556,1.086080687,0.418787137,0.830053962,-1.757716261,2989.448348,380.5915633
1,babb,5635,1,stu,clo,90,M,train-clean-360,1794.222178,1520.807088,1876.187759,2221.038535,-284.7580028,130.1266601,-37.62340763,32.08315135,-16.24373045,5.22703973,-18.88236279,-10.86537596,-8.715600941,-6.700033548,-8.260502288,-11.68769971,2881.208786,302.8678123
